sample,group,condition,time
DMSO_T000_1,DMSO_T0,DMSO,0
DMSO_T000_2,DMSO_T0,DMSO,0
DMSO_T000_3,DMSO_T0,DMSO,0
DMSO_T000_4,DMSO_T0,DMSO,0
DMSO_T060_1,DMSO_T60,DMSO,60
DMSO_T060_2,DMSO_T60,DMSO,60
DMSO_T060_3,DMSO_T60,DMSO,60
DMSO_T060_4,DMSO_T60,DMSO,60
DMSO_T240_1,DMSO_T240,DMSO,240
DMSO_T240_2,DMSO_T240,DMSO,240
DMSO_T240_3,DMSO_T240,DMSO,240
DMSO_T240_4,DMSO_T240,DMSO,240
MZB_T000_1,MZB_T0,MZB,0
MZB_T000_2,MZB_T0,MZB,0
MZB_T000_3,MZB_T0,MZB,0
MZB_T000_4,MZB_T0,MZB,0
MZB_T060_1,MZB_T60,MZB,60
MZB_T060_2,MZB_T60,MZB,60
MZB_T060_3,MZB_T60,MZB,60
MZB_T060_4,MZB_T60,MZB,60
MZB_T240_1,MZB_T240,MZB,240
MZB_T240_2,MZB_T240,MZB,240
MZB_T240_3,MZB_T240,MZB,240
MZB_T240_4,MZB_T240,MZB,240
